customer_id,transaction_date,transaction_value
C101874,2023-04-17,99.4
C100453,2023-01-06,28.05
C101746,2023-03-04,49.33
C101804,2024-02-28,43.71
C100309,2025-05-13,34.75
C101537,2024-01-14,55.74
C100590,2025-02-09,4.99
C100363,2024-06-30,144.16
C100279,2025-09-08,1.7
C101485,2023-01-27,130.32
C101853,2024-01-07,1.05
C101681,2023-06-11,47.99
C101208,2024-03-07,52.73
C100132,2023-10-28,74.17
C101772,2025-06-19,11.35
C100999,2023-04-10,68.08
C101507,2025-10-12,39.62
C100477,2025-03-31,21.24
C101654,2024-11-27,130.34
C100515,2023-07-20,180.55
C101672,2024-03-21,31.14
C100060,2024-10-29,22.98
C100256,2023-06-22,21.91
C101981,2023-01-12,22.7
C101420,2025-05-12,65.53
C100109,2025-05-29,17.28
C101321,2024-03-31,6.87
C100497,2023-10-26,41.36
C100238,2024-01-22,26.68
C101813,2023-01-13,30.99
C101345,2023-01-12,26.55
C100934,2024-07-28,2.31
C100860,2023-07-07,6.18
C100314,2025-08-26,55.98
C100309,2023-12-12,1.0
C100714,2023-08-13,3.73
C101468,2025-02-19,138.98
C100025,2025-07-22,86.45
C101793,2025-08-25,123.01
C100503,2024-09-23,32.15
C100525,2024-06-21,40.49
C101614,2023-03-12,41.74
C100524,2023-07-18,11.68
C101201,2023-07-17,56.46
C100865,2024-09-07,6.67
C101353,2023-05-11,44.36
C101302,2024-01-29,7.9
C100412,2025-09-27,103.4
C100322,2025-02-19,62.42
C100184,2023-03-10,45.17
C100427,2023-12-20,3.18
C100792,2025-09-15,104.2
C101565,2023-06-14,24.01
C100713,2025-01-28,73.49
C100518,2023-09-10,1.0
C100146,2025-02-08,5.34
C100745,2023-10-08,51.13
C100577,2024-07-01,12.31
C100197,2023-10-29,11.81
C101130,2023-08-13,29.36
C100987,2024-03-25,82.16
C100546,2024-09-06,138.35
C101786,2023-04-23,62.06
C101609,2025-05-03,135.84
C100652,2025-01-13,56.08
C100830,2024-07-06,27.87
C101419,2025-08-21,30.44
