cohort_month,cohort_index,users
2024-01-01,0,41
2024-01-01,1,29
2024-01-01,2,15
2024-01-01,3,10
2024-01-01,4,6
2024-01-01,5,5
2024-01-01,6,3
2024-02-01,0,50
2024-02-01,1,33
2024-02-01,2,21
2024-02-01,3,11
2024-02-01,4,8
2024-02-01,5,5
2024-02-01,6,2
2024-02-01,7,1
2024-03-01,0,36
2024-03-01,1,25
2024-03-01,2,14
2024-03-01,3,10
2024-03-01,4,9
2024-03-01,5,4
2024-03-01,6,1
2024-04-01,0,45
2024-04-01,1,30
2024-04-01,2,13
2024-04-01,3,8
2024-04-01,4,4
2024-04-01,5,1
2024-05-01,0,33
2024-05-01,1,26
2024-05-01,2,14
2024-05-01,3,7
2024-05-01,4,6
2024-05-01,5,1
2024-06-01,0,45
2024-06-01,1,34
2024-06-01,2,27
2024-06-01,3,14
2024-06-01,4,7
2024-06-01,5,5
2024-06-01,6,2
