user_id,signup_date,active_date
user_0118,2024-04-25,2024-06-23
user_0243,2024-04-04,2024-09-25
user_0017,2024-02-09,2024-04-01
user_0039,2024-06-04,2024-06-14
user_0093,2024-05-23,2024-09-24
user_0111,2024-06-07,2024-10-05
user_0240,2024-04-22,2024-04-25
user_0007,2024-06-10,2024-06-22
user_0206,2024-02-08,2024-02-16
user_0236,2024-01-22,2024-06-20
user_0196,2024-06-04,2024-07-06
user_0141,2024-03-27,2024-03-07
user_0247,2024-02-13,2024-03-05
user_0053,2024-02-18,2024-06-18
user_0193,2024-02-15,2024-02-27
user_0023,2024-03-02,2024-03-08
user_0026,2024-03-01,2024-03-26
user_0149,2024-02-06,2024-02-24
user_0189,2024-02-04,2024-02-09
user_0188,2024-02-15,2024-07-23
user_0058,2024-05-11,2024-05-22
user_0076,2024-03-12,2024-06-24
user_0126,2024-02-28,2024-05-21
user_0243,2024-04-04,2024-04-08
user_0059,2024-01-30,2024-02-20
user_0162,2024-04-24,2024-05-01
user_0093,2024-05-23,2024-06-14
user_0191,2024-03-17,2024-04-24
user_0116,2024-06-06,2024-11-10
user_0187,2024-06-04,2024-09-19
user_0168,2024-05-01,2024-05-10
user_0249,2024-05-01,2024-06-06
user_0075,2024-04-28,2024-06-11
user_0209,2024-03-09,2024-03-08
user_0147,2024-04-07,2024-05-22
user_0138,2024-05-17,2024-05-09
user_0199,2024-06-29,2024-08-23
user_0214,2024-03-17,2024-03-16
user_0128,2024-06-17,2024-07-09
user_0203,2024-06-02,2024-08-17
user_0071,2024-02-08,2024-05-08
user_0004,2024-02-10,2024-04-10
user_0107,2024-01-21,2024-01-24
user_0081,2024-04-11,2024-04-23
user_0014,2024-02-05,2024-04-11
user_0203,2024-06-02,2024-10-01
user_0142,2024-04-09,2024-04-14
user_0022,2024-05-06,2024-05-12
user_0163,2024-02-11,2024-04-15
user_0127,2024-01-04,2024-01-15
user_0185,2024-03-13,2024-07-21
user_0198,2024-01-10,2024-04-11
user_0084,2024-06-11,2024-06-08
user_0242,2024-04-15,2024-04-22
user_0202,2024-06-16,2024-06-04
user_0050,2024-03-07,2024-04-18
user_0234,2024-05-02,2024-08-04
user_0172,2024-04-13,2024-05-10
user_0197,2024-04-09,2024-05-16
user_0049,2024-04-25,2024-05-10
user_0122,2024-04-07,2024-07-02
user_0065,2024-06-01,2024-07-03
user_0222,2024-04-14,2024-06-16
user_0025,2024-06-22,2024-08-24
user_0207,2024-03-13,2024-04-09
user_0117,2024-02-24,2024-02-10
user_0136,2024-03-28,2024-03-28
user_0203,2024-06-02,2024-06-13
user_0216,2024-06-29,2024-06-20
user_0138,2024-05-17,2024-06-11
user_0030,2024-04-19,2024-07-02
user_0218,2024-05-10,2024-05-25
user_0109,2024-03-23,2024-03-03
user_0178,2024-03-19,2024-04-01
user_0237,2024-06-10,2024-06-03
user_0144,2024-06-06,2024-06-21
user_0213,2024-03-23,2024-08-27
user_0011,2024-02-09,2024-03-09
user_0162,2024-04-24,2024-04-28
user_0232,2024-02-03,2024-04-02
user_0230,2024-06-22,2024-06-26
user_0179,2024-03-17,2024-03-20
user_0235,2024-02-12,2024-02-01
user_0144,2024-06-06,2024-07-23
user_0155,2024-01-22,2024-01-24
user_0185,2024-03-13,2024-03-14
user_0032,2024-05-12,2024-06-28
user_0001,2024-04-25,2024-04-25
user_0005,2024-05-13,2024-06-10
user_0118,2024-04-25,2024-07-07
user_0173,2024-03-26,2024-03-14
user_0068,2024-01-06,2024-02-08
user_0030,2024-04-19,2024-04-04
user_0158,2024-04-16,2024-04-06
user_0200,2024-05-31,2024-06-27
user_0106,2024-04-26,2024-05-03
user_0044,2024-02-22,2024-02-17
user_0037,2024-05-30,2024-05-01
user_0093,2024-05-23,2024-05-27
user_0222,2024-04-14,2024-05-22
user_0044,2024-02-22,2024-03-26
user_0025,2024-06-22,2024-07-20
user_0035,2024-03-09,2024-07-17
user_0004,2024-02-10,2024-02-08
user_0048,2024-02-20,2024-07-24
user_0031,2024-05-26,2024-07-27
user_0133,2024-06-07,2024-06-15
user_0201,2024-06-24,2024-08-11
user_0090,2024-01-09,2024-04-19
user_0244,2024-06-18,2024-08-15
user_0065,2024-06-01,2024-06-25
user_0231,2024-01-15,2024-02-26
user_0211,2024-02-18,2024-02-08
user_0113,2024-03-31,2024-03-07
user_0197,2024-04-09,2024-04-27
user_0208,2024-01-11,2024-02-23
user_0094,2024-03-17,2024-04-08
user_0185,2024-03-13,2024-06-08
user_0038,2024-04-21,2024-05-06
user_0017,2024-02-09,2024-02-14
user_0148,2024-05-12,2024-05-18
user_0127,2024-01-04,2024-05-06
user_0130,2024-05-30,2024-05-24
user_0173,2024-03-26,2024-04-10
user_0019,2024-05-26,2024-05-18
user_0208,2024-01-11,2024-04-04
user_0163,2024-02-11,2024-02-16
user_0057,2024-01-31,2024-01-26
user_0118,2024-04-25,2024-04-13
user_0208,2024-01-11,2024-06-21
user_0232,2024-02-03,2024-02-05
user_0229,2024-01-29,2024-01-11
user_0042,2024-01-09,2024-01-19
user_0176,2024-02-04,2024-02-03
user_0157,2024-03-02,2024-03-17
user_0135,2024-01-16,2024-01-22
user_0173,2024-03-26,2024-07-02
user_0077,2024-06-14,2024-09-24
user_0085,2024-03-13,2024-03-05
user_0024,2024-01-29,2024-02-25
user_0161,2024-01-13,2024-02-10
user_0099,2024-06-24,2024-11-19
user_0049,2024-04-25,2024-06-22
user_0145,2024-03-17,2024-04-03
user_0156,2024-02-10,2024-02-24
user_0139,2024-05-18,2024-05-20
user_0079,2024-02-17,2024-03-25
